fila_excel,pedido_id,barrio,error
876,2682,Recoger en Tienda,barrio no encontrado
877,2683,Recoger en Tienda,barrio no encontrado
878,2684,Recoger en Tienda,barrio no encontrado
880,2686,Recoger en Tienda,barrio no encontrado
887,2692,Recoger en Tienda,barrio no encontrado
888,2693,Recoger en Tienda,barrio no encontrado
895,2699,Recoger en Tienda,barrio no encontrado
896,2700,Recoger en Tienda,barrio no encontrado
897,2701,Recoger en Tienda,barrio no encontrado
898,2702,Recoger en Tienda,barrio no encontrado
899,2703,Recoger en Tienda,barrio no encontrado
903,2706,Recoger en Tienda,barrio no encontrado
913,2714,Recoger en Tienda,barrio no encontrado
916,2717,Recoger en Tienda,barrio no encontrado
917,2718,Recoger en Tienda,barrio no encontrado
918,2719,Recoger en Tienda,barrio no encontrado
922,2722,Recoger en Tienda,barrio no encontrado
923,2723,Recoger en Tienda,barrio no encontrado
925,2725,Recoger en Tienda,barrio no encontrado
927,2727,Recoger en Tienda,barrio no encontrado
930,2730,Recoger en Tienda,barrio no encontrado
931,2731,Recoger en Tienda,barrio no encontrado
932,2732,Recoger en Tienda,barrio no encontrado
934,2734,Recoger en Tienda,barrio no encontrado
936,2736,Recoger en Tienda,barrio no encontrado
937,2737,Recoger en Tienda,barrio no encontrado
938,2738,Recoger en Tienda,barrio no encontrado
953,2747,Recoger en Tienda,barrio no encontrado
955,2748,Recoger en Tienda,barrio no encontrado
956,2749,Abajo,barrio no encontrado
961,2754,Recoger en Tienda,barrio no encontrado
966,2757,Recoger en Tienda,barrio no encontrado
967,2758,Recoger en Tienda,barrio no encontrado
977,2766,Recoger en Tienda,barrio no encontrado
979,2768,Recoger en Tienda,barrio no encontrado
990,2776,Recoger en Tienda,barrio no encontrado
992,2778,Recoger en Tienda,barrio no encontrado
997,2781,Recoger en Tienda,barrio no encontrado
1001,2783,Ciudad Jardín Modelo,barrio no encontrado
1007,2787,Ciudad Jardín Modelo,barrio no encontrado
1008,2788,Ciudad Jardín Modelo,barrio no encontrado
1012,2792,Recoger en Tienda,barrio no encontrado
1019,2797,Ciudad Jardín Modelo,barrio no encontrado
1026,2803,Recoger en Tienda,barrio no encontrado
1028,2805,Recoger en Tienda,barrio no encontrado
1030,2807,Ciudad Jardín Modelo,barrio no encontrado
1031,2808,Recoger en Tienda,barrio no encontrado
1032,2809,Recoger en Tienda,barrio no encontrado
1042,2818,Recoger en Tienda,barrio no encontrado
1049,2824,Recoger en Tienda,barrio no encontrado
1053,2827,Recoger en Tienda,barrio no encontrado
1054,2828,Recoger en Tienda,barrio no encontrado
1057,2830,Recoger en Tienda,barrio no encontrado
1060,2832,Recoger en Tienda,barrio no encontrado
1063,2834,Recoger en Tienda,barrio no encontrado
1064,2835,Recoger en Tienda,barrio no encontrado
1066,2837,Recoger en Tienda,barrio no encontrado
1070,2841,Recoger en Tienda,barrio no encontrado
1085,2851,Recoger en Tienda,barrio no encontrado
1090,2855,Recoger en Tienda,barrio no encontrado
1092,2856,Recoger en Tienda,barrio no encontrado
1095,2859,Recoger en Tienda,barrio no encontrado
1096,2860,Recoger en Tienda,barrio no encontrado
1102,2866,Recoger en Tienda,barrio no encontrado
1103,2867,Recoger en Tienda,barrio no encontrado
1105,2869,Recoger en Tienda,barrio no encontrado
1109,2872,Recoger en Tienda,barrio no encontrado
1110,2873,pumarejo - soledad,barrio no encontrado
1111,2874,Recoger en Tienda,barrio no encontrado
1114,2877,Recoger en Tienda,barrio no encontrado
1119,2881,Recoger en Tienda,barrio no encontrado
1120,2882,Recoger en Tienda,barrio no encontrado
1122,2883,Recoger en Tienda,barrio no encontrado
1124,2885,Recoger en Tienda,barrio no encontrado
1130,2890,Recoger en Tienda,barrio no encontrado
1131,2891,Recoger en Tienda,barrio no encontrado
1132,2892,Recoger en Tienda,barrio no encontrado
1134,2894,Recoger en Tienda,barrio no encontrado
1138,2898,Recoger en Tienda,barrio no encontrado
1139,2899,Recoger en Tienda,barrio no encontrado
1140,2900,Recoger en Tienda,barrio no encontrado
1141,2901,Recoger en Tienda,barrio no encontrado
1142,2902,Recoger en Tienda,barrio no encontrado
1143,2903,Recoger en Tienda,barrio no encontrado
1145,2905,Recoger en Tienda,barrio no encontrado
1146,2906,Recoger en Tienda,barrio no encontrado
1153,2912,Recoger en Tienda,barrio no encontrado
1156,2914,Recoger en Tienda,barrio no encontrado
1157,2915,Recoger en Tienda,barrio no encontrado
1159,2917,Ciudad Jardín Modelo,barrio no encontrado
1161,2918,Recoger en Tienda,barrio no encontrado
1164,2921,Recoger en Tienda,barrio no encontrado
1175,2928,Recoger en Tienda,barrio no encontrado
1179,2931,Recoger en Tienda,barrio no encontrado
1185,2936,Recoger en Tienda,barrio no encontrado
1187,2938,Recoger en Tienda,barrio no encontrado
1188,2939,Recoger en Tienda,barrio no encontrado
1191,2942,Ciudad Jardín Modelo,barrio no encontrado
1195,2946,Recoger en Tienda,barrio no encontrado
